Mouse ID#,Sex,Tansoral Exposure,Body Weight (g),Spleen Weight (g),BALF Cell Number,BALF Protein (ug/ml),LDH Activity(milliunits/mL),TGF-b (pg/ml),IL-6 (pg/ml),TNF-a (pg/ml),Perivasculitis & Peribronchitis,Alveolitis,Total Lung Score,ANA Score Pre,ANA Score 4 wk,ANA score 8wk,ANA Score 12 wk,ENA5 (U),IgM RF (ng/ml),anti-chromatin (U),anti-SSA (U),anti-SSB (U),anti-RNP (U),anti-Sm (U),anti-dsDNA  (U),Total IgM (ug/ml),Total IgG (ug/ml),Urine Protein (ug/ml),GN Score
41,F,5mg,22.5,0.1,660000,26.7,1.265352369,37.21492,65.32328,16.34539,0,0,0,0,0,2,0,52.773949,593.4024,10.2375,NA,NA,NA,NA,NA,70.71389,2242.06192,12373.75,0
42,F,5mg,25,0.12,370000,10.95,0.211345455,47.47022,68.00781,17.29462,0,0,0,0,1,3,3,98.08752584,4043.52,15.55,NA,NA,NA,NA,NA,367.9243,3576.47974,NA,0
43,F,5mg,23.7,0.13,3600000,174.3,3.385906218,125.64576,111.3317,35.45762,125,30,155,0,0,0,1,472.1743625,3961.482,11.96875,10.81993027,17.35864297,539.3370857,201.0553471,1376.497006,513.3804,3542.192297,NA,0
44,F,5mg,26.7,0.14,310000,93.15,0.640659835,41.30778,102.5436,29.26209,0,0,0,0,0,2,2,59.30392833,866.0226,10.09375,NA,NA,NA,NA,NA,269.7781,1846.080145,6625.625,0
45,F,5mg,20.5,0.05,380000,87.9,2.59987662,62.32196,115.1517,26.55038,0,0,0,0,0,0,0,NA,353.9956,10.3625,NA,NA,NA,NA,NA,104.8302,1429.234021,NA,0
46,F,5mg,22.9,0.11,3400000,67.95,2.177818532,56.0246,49.20195,13.42353,0,0,0,0,0,0,0,NA,1191.0454,9.29375,NA,NA,NA,NA,NA,315.4692,222.2699821,3241.875,0
47,F,5mg,22.9,0.06,840000,46.7,2.365375502,52.89562,115.4046,27.75707,1,0,1,0,0,1,1,42.60854583,932.824,9.925,NA,NA,NA,NA,NA,148.6094,634.9892025,8698.125,0
48,F,5mg,19.7,0.08,1100000,84.25,4.364635288,43.92228,71.5356,20.91467,12,1,13,0,1,2,1,50.77532736,520.2702,11.5,NA,NA,NA,NA,NA,104.5401,1110.284859,14946.25,0
49,F,5mg,23.5,0.11,5300000,165.7,30.36275157,118.12466,53.16736,20.99522,0,0,0,0,0,0,0,NA,1079.9794,9.3375,NA,NA,NA,NA,NA,148.1353,478.2340283,4404.375,0
50,F,5mg,22.3,0.08,1700000,56.65,6.655986385,191.20588,228.2493,22.91364,186,0,186,0,0,3,2,29.58098812,1243.5156,10.14375,NA,NA,NA,NA,NA,335.8013,2381.996806,12788.75,0
51,F,5mg,31.4,0.09,1100000,74.6,6.150350991,129.77726,31.02873,24.00482,52,17,69,0,0,2,2,184.6657478,533.5806,16.05,9.284669891,15.77275175,25.82082552,25.45340838,2430.292641,322.3179,1479.715048,4653.75,0
52,F,5mg,25.3,0.07,730000,18.3,1.679830086,35.8578,84.67213,24.1552,1,0,1,0,0,0,1,53.98001378,1891.7488,11.0125,NA,NA,NA,NA,NA,411.6299,1754.280979,4705,0.5
53,F,5mg,25.4,0.09,1400000,37.5,2.509592615,41.24258,56.60833,28.26337,83,17,100,0,0,2,2,60.13094418,1035.9396,9.26875,NA,NA,NA,NA,NA,238.3776,3233.394291,7078.75,0
54,F,5mg,26.9,0.16,2000000,62.45,1.630070191,79.57484,200.354,48.72075,63,12,75,0,0,0,4,94.27980703,1855.6474,232.6375,NA,NA,NA,NA,NA,646.3372,1529.964156,5475.625,0
55,F,5mg,25.5,0.09,470000,60.55,2.928678484,68.26206,119.853,25.33215,0,0,0,0,1,0,3,23.63977486,1089.2482,11.8625,NA,NA,NA,NA,NA,343.4007,2479.0434,6290.625,0
56,F,PBS,24.1,0.07,1050000,30.4,1.08170553,19.08816,38.49581,12.74532,0,0,0,0,2,0,0,38.7818404,625.6062,9.8,NA,NA,NA,NA,NA,111.6625,1169.990411,15085,0
57,F,PBS,20.6,0.08,440000,33.5,1.048495557,17.617665,81.21919,21.37808,0,0,0,0,0,0,0,18.606072,421.6902,9.1375,NA,NA,NA,NA,NA,67.26657,431.9583607,6098.75,0
58,F,PBS,24.1,0.09,1700000,52.75,1.498425999,29.11503,82.32785,22.95009,0,0,0,0,0,0,1,106.7800097,645.0864,11.74375,NA,NA,NA,NA,NA,166.821,1694.578562,7192.5,0
59,F,PBS,22.7,0.06,6000000,108.25,10.54756227,20.751885,112.1445,22.98654,0,0,0,0,1,2,0,50.11067025,783.5552,21,NA,NA,NA,NA,NA,72.57549,1781.478178,12790,0
60,F,PBS,27.1,0.14,1050000,102.15,1.640126246,NA,29.48207,11.35025,5,0,5,0,0,2,4,75.78636888,3400.318,16.8,11.35136655,29.46688207,39.19637273,18.01125704,1385.116863,300.135,4360.849511,14077.5,0
61,M,PBS,30.2,0.06,460000,118.2,0.113009431,29.27343,79.42929,22.41586,0,0,0,0,0,1,1,20.60579002,393.5898,9.7625,NA,NA,NA,NA,NA,161.1403,1268.172571,15445.625,0
62,M,PBS,33.4,0.12,900000,145.55,0.724676754,19.41792,50.87278,15.81965,0,0,0,0,0,1,0,20.77262901,332.486,12.91875,NA,NA,NA,NA,NA,139.2738,2071.71431,13754.375,0
63,M,PBS,42.1,0.07,600000,120.55,0.465638964,29.92608,90.96565,19.67633,0.5,0,0.5,0,1,0,0,14.20716233,344.1656,7.15625,NA,NA,NA,NA,NA,107.7905,236.066653,12441.875,0
64,M,PBS,35.7,0.11,700000,104.35,4.117060164,0,151.6959,33.35149,1,0,1,0,3,0,0,15.61706927,246.3068,10.1125,NA,NA,NA,NA,NA,95.55687,216.8377506,9428.125,0
65,M,PBS,32.7,0.06,4900000,120,1.126474299,0,111.9818,30.69192,0,0,0,0,1,2,2,24.7438669,151.92126,12.7,8.584523676,14.20301562,21.31019387,13.85240775,711.8987831,58.30469,1721.568915,15511.875,0
66,M,5mg,28.2,0.06,55000000,221.2,8.773264416,68.60078,61.64899,29.19181,155,53,208,0,0,4,4,740.5410062,404.6074,250.35,10.4206501,15.31771675,625.3908693,530.8083177,896.6100058,239.4474,2863.113733,13936.25,0
67,M,5mg,37.8,0.08,490000,75.2,1.629368178,69.95702,59.94482,13.41956,0,2,2,0,1,2,0,551.2749828,277.0672,8.19375,8.227420988,8.632202477,535.2095059,555.8708568,189.7817269,73.58181,194.4551682,14713.75,0
68,M,5mg,38.8,0.1,485000,61.85,1.629758326,36.89146,112.0068,25.27911,0.5,0,0.5,0,0,2,1,37.99104066,392.1442,9.575,NA,NA,NA,NA,NA,147.886,331.4223272,13811.25,0
69,M,5mg,29,0.09,395000,208.4,14.50627491,98.80146,66.51212,44.39224,220,33,253,0,2,0,2,226.0165403,1185.788,38.43125,NA,NA,NA,NA,NA,322.7566,1879.368873,15951.875,0
70,M,5mg,30.2,0.1,750000,158.95,9.136234238,37.40912,157.0337,38.30673,3,0,3,0,0,0,0,48.60441075,517.1988,9.38125,NA,NA,NA,NA,NA,162.0909,533.8470457,15310,0
71,M,5mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,M,5mg,26,0.08,800000,84.45,0.162522482,48.59134,45.76019,10.70841,0.5,0,0.5,0,1,3,0,42.28118539,2841.73,8.29375,NA,NA,NA,NA,NA,169.0343,477.751804,14313.125,0
73,M,5mg,35.1,0.06,550000,195.75,0.015536003,57.15968,34.65563,12.93961,0,0,0,0,3,1,0,48.84562371,807.0764,9.6875,NA,NA,NA,NA,NA,205.5115,796.2736913,9581.25,0
74,M,5mg,35.2,0.08,1350000,206.45,2.281852809,88.80092,284.2744,68.18809,7,0,7,0,1,0,4,788.4906961,900.6238,9.7375,7.67911371,8.179859989,625.3908693,581.0741088,221.725903,152.9746,429.7644282,11371.875,0
75,M,5mg,36.2,0.06,550000,76.45,0.01381081,25.52472,87.36941,28.45707,4,0,4,0,1,1,2,36.130255,910.1672,21.93125,NA,NA,NA,NA,NA,267.6579,555.3141751,12476.25,0
76,M,PBS,34.3,0.11,600000,84.55,1.841413346,37.79766,60.93242,14.98423,0,0,0,0,2,2,1,32.78925085,792.501,9.59375,NA,NA,NA,NA,NA,271.185,900.1235541,7127.5,0
77,M,PBS,47.6,0.09,800000,129.65,4.648550321,44.9714,271.8456,49.50278,0,0,0,0,0,0,0,112.6058986,330.392,9.61875,NA,NA,NA,NA,NA,226.736,314.8019908,7012.5,0
78,M,PBS,29.1,0.08,750000,90.15,3.253005663,33.28334,79.63137,23.48921,0,0,0,0,1,2,2,65.13661614,1173.8774,14.85625,9.256551569,10.1642434,9.193245779,9.318323952,166.6747151,86.39394,2684.50166,6402.5,0
79,M,PBS,33.6,0.1,405000,82.45,5.399428283,17.8732,311.9497,147.2989,50,7,57,0,2,3,2,31.75309313,951.7146,9.075,11.57631313,13.04254173,10.96779237,9.193245779,140.8875797,617.4825,599.7470272,4142.5,0
80,M,PBS,35.6,0.08,1480000,125.25,17.52186019,39.15998,163.6943,32.78986,2,0,2,0,0,1,2,25.32542731,664.3186,17.2375,9.931391295,11.182014,8.927454659,8.560037523,107.2049449,79.04017,308.7097304,11178.75,0
81,M,5mg,40.9,0.09,750000,71.95,6.3434076,43.26756,104.4787,27.63784,18,0,18,0,0,2,2,396.6747071,842.807,8.775,9.838600832,9.235325794,379.2057536,452.775172,285.0347692,193.6751,628.8976734,7141.875,0
82,M,5mg,34.5,0.09,1380000,46.65,0,33.21916,65.08878,13.49706,0,0,0,0,1,0,0,NA,298.5176,8.84375,NA,NA,NA,NA,NA,63.61596,501.8426471,4518.125,0
83,M,5mg,29.4,0.17,30000000,400.7,24.723119,179.13924,1583.911,137.0131,300,143,443,0,3,4,4,826.9469331,781.938,13.61875,18.6846249,28.5271944,625.3908693,625.3908693,4235.02994,210.3357,5817.341323,6002.5,1.7
84,M,5mg,34.9,NA,1350000,27.1,0,20.09216,65.50548,12.40125,2,0,2,0,0,0,0,NA,648.851,8.2875,NA,NA,NA,NA,NA,270.0558,198.681839,6596.25,0
85,M,5mg,28.3,0.16,3450000,135.55,2.793828029,34.69756,75.60959,29.14539,68,40,108,0,3,4,4,702.2053756,790.9916,63.18125,9.338094703,20.69736134,625.3908693,465.4002502,2868.963686,280.0048,4343.952857,10775,0
86,M,5mg,40.9,0.09,1700000,106.2,0.004761117,19.5357,98.90826,17.04469,11,3,14,0,1,3,3,138.800827,371.4778,9.16875,NA,NA,NA,NA,NA,286.9471,2249.598242,14421.875,0
87,M,5mg,29,0.06,420000,94.1,0,20.15406,216.1782,29.84908,6,0,6,0,1,1,4,32.70158511,920.2148,42.94375,NA,NA,NA,NA,NA,194.5923,306.1103576,8451.25,0
88,M,5mg,27.2,0.09,6000000,181.5,3.883516601,271.625,349.2436,56.32925,147,41,188,0,2,2,2,57.49483115,545.957,18.5375,NA,NA,NA,NA,NA,86.40923,1267.2637,13425,0
89,M,5mg,42.7,0.09,2100000,235.7,9.027669204,38.0569,34.54337,14.28473,12,2,14,0,1,0,0,NA,416.3904,7.74375,NA,NA,NA,NA,NA,220.3684,150.3694632,15096.25,0
90,M,5mg,38,0.11,1600000,128.95,0.951535313,10.986424,66.02046,13.47527,16,0,16,0,2,2,0,45.14128187,529.5614,8.06875,NA,NA,NA,NA,NA,91.46058,1554.504734,10750.625,0
91,M,5mg,26.5,0.11,3900000,113.95,0,12.356172,132.2222,20.14284,2,2,4,0,1,0,0,NA,429.833,9.09375,NA,NA,NA,NA,NA,278.6058,1873.162429,6843.125,0
92,M,5mg,43.6,0.17,90000000,455.7,0.138231999,114.1671,60.40198,70.27828,225,55,280,0,1,1,4,734.0454859,332.2538,104.30625,14.5877854,12.95907377,625.3908693,512.0622264,703.4237976,249.0044,1783.676185,14955,0
93,M,5mg,33,0.12,650000,70.8,2.160440373,34.37578,105.189,24.36826,0.5,0,0.5,0,1,0,0,45.86492074,436.3484,8.73125,NA,NA,NA,NA,NA,151.9161,858.0096827,10811.25,0
94,M,5mg,27.2,0.05,850000,129.55,0,15.248458,117.9251,20.75061,0,0,0,0,1,0,0,40.67884218,645.1632,8.76875,NA,NA,NA,NA,NA,181.0507,983.5974559,10255,0
95,M,5mg,41,0.17,7500000,185.6,0,36.3744,90.9042,32.52433,50,31,81,0,1,3,2,490.8849281,1347.2284,9.8,7.774716005,14.17070544,372.5609756,263.4459037,741.7423218,185.8757,1055.530046,6859.375,0
96,M,5mg,30.1,0.1,550000,71.15,0,83.08794,105.6919,14.37599,0,0,0,0,1,2,0,42.33287388,2385.144,8.84375,NA,NA,NA,NA,NA,266.4454,962.5704503,13086.875,0
97,M,5mg,33.8,0.11,800000,91.3,0,48.40845,168.1274,30.33608,2,0,2,0,1,0,2,25.26579112,584.0552,9.63125,NA,NA,NA,NA,NA,202.507,1190.057669,9535,0
98,M,5mg,41.4,0.1,1350000,100.7,0,72.11562,58.53116,34.13469,13,8,21,0,1,3,3,53.42866988,416.222,15.68125,NA,NA,NA,NA,NA,83.01354,1729.488634,12419.375,0
99,M,5mg,33.8,0.1,1700000,119,0.035274849,80.398905,70.37819,20.39285,66,6,72,0,4,3,4,341.3507926,695.203,223.1125,9.354965696,15.20193861,569.4183865,371.8964978,5794.861889,157.2352,1297.141548,11046.875,0
100,M,5mg,32.5,0.06,270000,83.15,0,85.04328,196.5146,25.27494,0,0,0,0,1,0,0,41.83321847,252.4036,8.46875,NA,NA,NA,NA,NA,86.68669,186.7614134,7057.5,0
101,F,5mg,25,0.08,465000,232.5,16.6328913,52.875045,87.98481,19.04768,0,0,0,0,1,2,3,38.05995865,740.7048,24.80625,NA,NA,NA,NA,NA,185.7954,986.3243841,2150.625,0
102,F,5mg,26.5,0.09,2150000,117.4,0.042209536,113.219025,22.87399,40.75483,65,16,81,0,1,0,3,365.7911194,812.5544,12.0875,11.30918907,14.10070005,182.7470294,69.29330832,1587.212671,85.42934,2049.943179,11323.125,0
103,F,5mg,20.3,0.07,405000,51.9,0.170776192,45.07905,168.0873,22.173,1,3,4,0,1,4,0,44.09028256,2076.382,28.7125,NA,NA,NA,NA,NA,373.5116,881.7633031,5931.875,0.5
104,F,5mg,25.7,0.12,270000,67.6,0,78.29499,58.38268,9.443641,1,0,1,0,1,0,4,582.942464,2282.352,11.54375,15.70970644,19.77382876,522.912758,606.7776735,1481.239135,242.9671,1650.825274,7851.25,0
105,F,5mg,24.5,0.07,800000,81.8,0,64.942845,65.43598,13.49706,2,1,3,0,0,0,0,40.83390765,1127.8008,8.5875,NA,NA,NA,NA,NA,194.2661,1502.69174,7339.375,0
106,F,5mg,20.9,0.09,850000,62.35,0,36.938805,91.59673,16.35286,3,0,3,0,2,2,1,45.0206754,296.8354,12.09375,NA,NA,NA,NA,NA,126.3787,2207.613597,9543.75,0
107,F,5mg,24,0.12,4250000,164.55,5.898004488,132.53988,108.0238,32.50686,110,60,170,0,1,2,4,690.0930393,6749.9,92,11.96153414,14.19763059,625.3908693,221.9121326,3766.008306,657.9503,1976.866768,3337.5,1.2
